% 25176
% tac	manuf	model	aka
106600	Cisco	WRTU54G	
270400	Siemens	SL55	S30880-S4910,SL56
271488	LG	C1400	1400,4010,4100
274752	LG	G4011	
276800	LG	C1200	
276864	LG	C1300	C1300i,G4015
278144	Nokia	1100b	RH-36
279616	LG	G4020	G4050
281472	LG	C1300	C1300i,G4015
281536	LG	C1300	C1300i,G4015
282432	LG	C1300	C1300i,G4015
284672	LG	F9100	
285952	LG	C1300	C1300i,G4015
287040	LG	C1300	C1300i,G4015
292992	LG	MG200	C2000,MG200C
299776	Nokia	6030	6030b,RM-229,RM-74,RM-74 (DCT-4),RM-75
301440	Nokia	6060	6060v,6061,6062,RH-73,RH-73 (DCT-4),RH-74,RH-97,RH-97 (DCT-4)
329216	Apple	iPhone 3GS	iPhone 3GS 32GB
334592	Apple	iPhone 3GS	iPhone 3GS 32GB
334720	Apple	iPhone 3GS	iPhone 3GS 32GB
334976	Apple	iPhone 3GS	iPhone 3GS 32GB
335040	Apple	iPhone 3GS	iPhone 3GS 32GB
345216	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
345664	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
349888	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
350272	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
358912	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
360832	Apple	iPhone 4s	
362496	Apple	iPhone 4s	
362880	Apple	iPhone 4s	
363072	Apple	iPhone 4s	
363136	Apple	iPhone 4s	
363200	Apple	iPhone 4s	
363648	Apple	iPhone 4s	
363776	Apple	iPhone 4s	
365952	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
366016	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
371904	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
375104	Apple	iPhone 5	
375168	Apple	iPhone 5	
375296	Apple	iPhone 5	
375360	Apple	iPhone 5	
377024	Apple	iPhone 5	
377088	Apple	iPhone 5	
377408	Apple	iPhone 5	
377600	Apple	iPhone 5	
377792	Apple	iPhone 5	
377856	Apple	iPhone 5	
377920	Apple	iPhone 5	
377984	Apple	iPhone 5	
378944	Apple	iPhone 5	
383552	Apple	iPhone 5	
383872	Apple	iPhone 5	
386368	Apple	iPhone 5	
386624	Apple	iPhone 5	
392384	Alcatel	OneTouch Fierce	
395648	LG	D321	
403968	LG	MS323	
406400	TCL	7040N	
412224	TCL	5054N	
499901	CHUWI	CW-Vi7	
1020900	Siemens	S45	S30880-S4500,S45i,S46
1033900	Nokia	N-Gage QD	RH-29,RH-29 (DCT-4),RH-29[47]
1037800	LG	C1300	C1300i,G4015
1037900	LG	L1100	L1150
1052900	LG	C1300	C1300i,G4015
1062800	LG	LG-2000	
1078200	LG	MG200	C2000,MG200C
1085100	LG	CU500	
1096500	Nokia	6060	6060v,6061,6062,RH-73,RH-73 (DCT-4),RH-74,RH-97,RH-97 (DCT-4)
1096600	Nokia	6060	6060v,6061,6062,RH-73,RH-73 (DCT-4),RH-74,RH-97,RH-97 (DCT-4)
1108700	Nokia	1116	1112b,RH-92 (DCT-4),RH-93,RH-93 (DCT-4)
1124500	Apple	iPhone A1203	
1127700	Cisco	WRTU54G	
1130000	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1130100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1136400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1136500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1141200	Simcom	SIM340/SIM340Z/SIM300	
1143400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1147200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1154600	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1161200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1161300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1161400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1161700	Cisco	WRTU54G	
1165400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1171200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1171300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1171400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1174200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1174300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1174400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1174500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1177600	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1180800	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1180900	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1181000	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1181100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1181200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1181300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193600	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1193700	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1194800	Apple	iPhone 3GS	iPhone 3GS 32GB
1194800	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1194900	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1195000	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1195100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1195200	Apple	iPhone 3GS	iPhone 3GS 32GB
1195200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1197600	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1197700	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1197800	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1197900	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198000	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1198500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202000	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202100	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202200	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202300	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202400	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202500	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202600	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
1202700	Apple	iPhone 4	iPad 3G (A1337), iPad 3G Model A1337, iPhone 3G (A1241), iPhone 3G (A1324), iPhone 3G A1241, iPhone 3GS (A1303), iPhone 3GS - A1303 (AI0808), iPhone 3GS Model A1303, iPhone 4 (A1332), iPhone 4S (A1387), iPhone 4S (A1431), iPhone A1203,iPhone 4 16GB,iPhone 4 32GB
